喜宴,1993,9.0,345794
恐怖直播,2013,8.7,631958
血战钢锯岭,2016,8.7,761986
七武士,1954,9.3,189953
花样年华,2000,8.7,581700
九品芝麻官,1994,8.7,645120
头脑特工队,2015,8.8,587869
黑客帝国3：矩阵革命,2003,8.8,432915
色，戒,2007,8.6,761119
茶馆,1982(中国大陆),9.5,129523
惊魂记,1960,9.0,277729
电锯惊魂,2004,8.7,512394
三块广告牌,2017,8.7,796152
你的名字。,2016,8.5,1344831
达拉斯买家俱乐部,2013,8.8,438725
疯狂原始人,2013,8.7,813869
卢旺达饭店,2004,8.9,318278
心迷宫,2014,8.7,501167
上帝之城,2002,9.0,293029
谍影重重3,2007,8.8,404387
英雄本色,1986,8.6,516069
风之谷,1984,8.9,344494
纵横四海,1991,8.8,406400
海街日记,2015,8.8,430321
绿里奇迹,1999,8.9,316191
爱在午夜降临前,2013,8.9,382448
记忆碎片,2000,8.7,583258
岁月神偷,2010,8.7,562328
忠犬八公物语,1987,9.2,187419
荒蛮故事,2014,8.8,428818
疯狂的石头,2006,8.6,791834
爆裂鼓手,2014,8.7,565909
小偷家族,2018,8.7,789752
无敌破坏王,2012,8.7,518678
雨中曲,1952,9.1,213384
贫民窟的百万富翁,2008,8.6,725566
冰川时代,2002,8.6,593439
2001太空漫游,1968,8.9,308998
东邪西毒,1994,8.6,557236
背靠背，脸对脸,1994,9.5,122085
无间道2,2003,8.7,456574
恐怖游轮,2009,8.5,826895
小丑,2019,8.7,971375
真爱至上,2003,8.6,713882
你看起来好像很好吃,2010,8.9,322517
遗愿清单,2007,8.7,438935
牯岭街少年杀人事件,1991,8.9,284143
黑天鹅,2010,8.6,762037
魔女宅急便,1989,8.7,442065
东京教父,2003,9.0,215669
大佛普拉斯,2017,8.7,434330
可可西里,2004,8.9,292862
心灵奇旅,2020,8.7,935442
城市之光,1931,9.3,139666
雨人,1988,8.7,391846
恋恋笔记本,2004,8.6,647565
源代码,2011,8.5,809907
初恋这件小事,2010,8.5,957694
海边的曼彻斯特,2016,8.6,506308
虎口脱险,1966,8.9,246796
人工智能,2001,8.7,429652
萤火虫之墓,1988,8.7,395210
波西米亚狂想曲,2018,8.6,581402
青蛇,1993,8.6,505881
罗生门,1950,8.8,302719
终结者2：审判日,1991,8.8,330404
疯狂的麦克斯4：狂暴之路,2015,8.7,509078
新龙门客栈,1992,8.7,427434
奇迹男孩,2017,8.6,537930
千钧一发,1997,8.8,284005
二十二,2015,8.7,284756
无耻混蛋,2009,8.6,457813
崖上的波妞,2008,8.6,472473
彗星来的那一夜,2013,8.5,552187
房间,2015,8.8,360088
血钻,2006,8.7,367110
黑客帝国2：重装上阵,2003,8.7,392704
步履不停,2008,8.8,268973
魂断蓝桥,1940,8.8,268260
战争之王,2005,8.7,354785
末路狂花,1991,8.9,236417
爱乐之城,2016,8.4,855720
花束般的恋爱,2021,8.6,563266
火星救援,2015,8.5,699803
谍影重重2,2004,8.7,339608
千年女优,2001,8.8,252998
燃情岁月,1994,8.8,277817
哈利·波特与死亡圣器(上),2010,8.5,544598
芙蓉镇,1987,9.2,124084
阿飞正传,1990,8.5,489626
谍影重重,2002,8.6,409674
再次出发之纽约遇见你,2013,8.6,414651
弱点,2009,8.7,292718
朗读者,2008,8.6,443116
海洋,2009,9.1,153949
香水,2006,8.5,529949
穿越时空的少女,2006,8.6,370383
我爱你,2011,9.0,160577
地球上的星星,2007,8.9,198618
